id_sitrix,label,CNPJ,dado_luana,uf,label,capital,idh_2010,pib_2015,gentilico,codigo_regiao,populacao_censo,area_km_quadrados,numero_municipios,total_de_veiculos_2016,populacao_estimada_2018,area_territorial_km_quadrados_2017,despesas_empenhadas_em_1000reais_2017,matriculas_no_ensino_fundamental_2017,receitas_realizadas_em_1000reais_2017,densidade_demografica_hab_por_km_quadrado_2010,rendimento_mensal_domiciliar_per_capita_2017_reais,ganhadores_mega_sena
177,AC,4,73,Acre,AC,Rio Branco,663,519326359,acriano,12,733559,164123737,22,251556,869265,164123737,6084417,40226,6632883,"4,47",769,2
200,AL,9,69,Alagoas,AL,Maceió,631,13622323,alagoano,27,3120494,"27848,14",102,753825,3322820,27848140,10460635,118933,11950438,"112,33",658,5
303,AM,15,340,Amazonas,AM,Manaus,674,215613025,amazonense,13,3483985,1559146876,62,819382,4080611,1559146876,15324897,199808,17328459,"2,23",850,7
366,AP,1,67,Amapá,AP,Macapá,708,130883426,amapaense,16,669526,142828521,16,179665,829494,142828521,4224464,37428,5396417,"4,69",936,1
383,BA,37,613,Bahia,BA,Salvador,660,120363143,baiano,29,14016906,"564732,45",417,3801090,14812617,564732450,45570160,570301,50191003,"24,82",862,37
801,CE,25,264,Ceará,CE,Fortaleza,682,39148433,cearense,23,8452381,148887633,184,2909172,9075649,148887633,24608352,369610,28420222,"56,76",824,19
986,DF,22,353,Distrito Federal,DF,Brasília,824,376959749,brasiliense,53,2570160,5779997,1,1699682,2974703,5779997,21990465,109143,23812211,"444,66",2548,30
988,ES,21,461,Espírito Santo,ES,Vitória,740,1939890056,capixaba (ou espírito-santense),32,3514952,46086907,78,1811993,3972388,46086907,14392338,123937,19685617,"76,25",1205,23
1067,GO,29,427,Goiás,GO,Goiânia,735,86560496,goiano,52,6003788,340106492,246,3657750,6921161,340106492,24248380,225538,37885335,"17,65",1277,18
1314,MA,11,207,Maranhão,MA,São Luis,639,245024862,maranhense,21,6574789,331936949,217,1541845,7035055,331936949,17627171,318515,18503261,"19,81",597,9
1532,MG,67,1088,Minas Gerais,MG,Belo Horizonte,731,78475166,mineiro,31,19597330,586520732,853,10277988,21040662,586520732,98391669,842697,97199823,"33,41",1224,83
2386,MS,5,148,Mato Grosso do Sul,MS,Campo Grande,729,36562837,sul-mato-grossense,50,2449024,357145531,79,1459464,2748023,357145531,14506915,96512,16396656,"6,86",1291,18
2466,MT,13,187,Mato Grosso,MT,Cuiabá,725,173631663,mato-grossense,51,3035122,903202446,141,1881794,3441998,903202446,18187363,142495,23958529,"3,36",1247,13
2608,PA,36,308,Pará,PA,Belém,646,57249756,paraense,15,7581051,1247955238,144,1827135,8513497,1247955238,22533470,359127,25849446,"6,07",715,16
2753,PB,9,70,Paraíba,PB,João Pessoa,658,249072797,paraibano,25,3766528,56468435,223,1184259,3996496,56468435,10074700,143636,13097005,"66,7",928,8
2977,PE,30,331,Pernambuco,PE,Recife,673,38554462,pernambucano,26,8796448,98076021,185,2816115,9496294,98076021,33320486,352383,35746029,"89,62",852,21
3163,PI,4,78,Piauí,PI,Teresina,646,46363870,piauiense,22,3118360,251611929,224,1085009,3264531,251611929,9676736,141248,12124216,"12,4",750,4
3388,PR,29,958,Paraná,PR,Curitiba,749,156955363,paranaense,41,10444526,199307939,399,7140439,11348937,199307939,55534403,439815,60163576,"52,4",1472,69
3788,RJ,67,1232,Rio de Janeiro,RJ,Rio de Janeiro,761,107418031,fluminense,33,15989929,43781588,92,6377484,17159960,43781588,67965549,573300,78488141,"365,23",1445,83
3881,RN,12,105,Rio Grande do Norte,RN,Natal,684,659136904,potiguar (ou norte-rio-grandense),24,3168027,52811107,167,1183363,3479010,52811107,11330958,126265,13527553,"59,99",845,9
4049,RO,5,135,Rondônia,RO,Porto Velho,690,381985143,rondoniense ou rondoniano,11,1562409,237765293,52,905487,1757589,237765293,7085530,60537,9122311,"6,58",957,6
4102,RR,3,66,Roraima,RR,Boa Vista,707,130620788,roraimense,14,450479,224300805,15,201081,576568,224300805,3384684,22838,4419450,"2,01",1006,1
6956,RS,42,1155,Rio Grande do Sul,RS,Porto Alegre,746,83082336,gaúcho (ou sul-rio-grandense),43,10693929,281737888,497,6650259,11329605,281737888,62476279,347637,66397468,"37,96",1635,36
4616,SC,17,881,Santa Catarina,SC,Florianópolis,774,10354355,catarinense (ou barriga-verde),42,6248436,95737954,295,4772160,7075494,95737954,25595103,221744,34696773,"65,27",1597,21
4912,SE,8,79,Sergipe,SE,Aracaju,665,28930063,sergipano,28,2068017,21918443,75,709682,2278308,21918443,8494927,79237,10145047,"94,36",834,6
4988,SP,201,10540,São Paulo,SP,São Paulo,783,13861201,paulista,35,41262199,248219627,645,27332100,45538936,248219627,231982000,1802429,232822497,"166,23",1712,219
7561,TO,3,75,Tocantins,TO,Palmas,699,56140394,tocantinense,17,1383445,277720412,139,637236,1555229,277720412,8929456,65045,10305099,"4,98",937,1
